Date : 2022-10-24 18:59:01
Directory : /Volumes/AJDWS/WorkSpace/Websites/angelo/src
Total : 95 files,  3536 codes, 34 comments, 783 blanks, all 4353 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         54 |      2,447 |         16 |        529 |      2,992 |
| CSS        |         41 |      1,089 |         18 |        254 |      1,361 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |         95 |      3,536 |         34 |        783 |      4,353 |
| components                                                                                                   |         85 |      3,160 |         32 |        696 |      3,888 |
| components/about-me                                                                                          |          4 |         62 |          0 |         15 |         77 |
| components/cards                                                                                             |          3 |         66 |          2 |         18 |         86 |
| components/dynamics                                                                                          |          8 |        285 |          0 |         64 |        349 |
| components/elements                                                                                          |         24 |        480 |          3 |        133 |        616 |
| components/layouts                                                                                           |          6 |        171 |          2 |         42 |        215 |
| components/modals                                                                                            |          6 |        163 |          0 |         35 |        198 |
| components/projects                                                                                          |         34 |      1,933 |         25 |        389 |      2,347 |
| components/projects/list                                                                                     |          8 |        433 |          4 |         86 |        523 |
| components/projects/project                                                                                  |         26 |      1,500 |         21 |        303 |      1,824 |
| components/projects/project/content                                                                          |         10 |        332 |          1 |         80 |        413 |
| components/projects/project/overview                                                                         |          4 |        371 |          0 |         69 |        440 |
| components/projects/project/routing                                                                          |          8 |        693 |         20 |        134 |        847 |
| custom-hooks                                                                                                 |          1 |         31 |          0 |          9 |         40 |
| helpers                                                                                                      |          3 |         38 |          0 |         10 |         48 |
| store                                                                                                        |          6 |        307 |          2 |         68 |        377 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/about-me/AboutMeEditor.js                            | JavaScript |          5 |          0 |          3 |          8 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/about-me/AboutMeEditor.module.css                    | CSS        |          0 |          0 |          1 |          1 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/about-me/Tabs.js                                     | JavaScript |         31 |          0 |          7 |         38 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/about-me/Tabs.module.css                             | CSS        |         26 |          0 |          4 |         30 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/cards/Card.js                                        | JavaScript |         12 |          0 |          4 |         16 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/cards/Card.module.css                                | CSS        |         32 |          2 |          8 |         42 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/cards/CardHeader.js                                  | JavaScript |         22 |          0 |          6 |         28 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/DynamicInput.js                             | JavaScript |         77 |          0 |         14 |         91 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/DynamicInput.module.css                     | CSS        |         16 |          0 |          5 |         21 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/DynamicList.js                              | JavaScript |         87 |          0 |         20 |        107 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/DynamicList.module.css                      | CSS        |         19 |          0 |          3 |         22 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/DynamicMedia.js                             | JavaScript |         14 |          0 |          7 |         21 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/DynamicMedia.module.css                     | CSS        |          0 |          0 |          1 |          1 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/InterpretedText.js                          | JavaScript |         66 |          0 |         13 |         79 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/dynamics/InterpretedText.module.css                  | CSS        |          6 |          0 |          1 |          7 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/elements/Button.js                                   | JavaScript |         12 |          0 |          4 |         16 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/elements/Button.module.css                           | CSS        |         79 |          0 |         18 |         97 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/elements/Icon.js                                     | JavaScript |         15 |          0 |          6 |         21 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/elements/Icon.module.css                             | CSS        |          3 |          0 |          1 |          4 |
| /Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/elements/InnerShadow.js                              | JavaScript |          8 |          1 |          3 |         12 |
